Id,coord1,coord2,Serol,Year,Month,Day,Week,Site,Region,MetaRegion,MetaRegionB,Sex,Age,UK_Date,Date_continuous
7620,-12.66558,-76.66798,1,2017,3,29,13,LMA4,Lima,Lima,Lima,M,A,29/03/2017,2017.25
8507,-12.66558,-76.66798,1,2017,3,29,13,LMA4,Lima,Lima,Lima,F,A,29/03/2017,2017.25
8508,-12.66558,-76.66798,1,2017,3,29,13,LMA4,Lima,Lima,Lima,M,A,29/03/2017,2017.25
8509,-12.66558,-76.66798,1,2017,3,29,13,LMA4,Lima,Lima,Lima,M,A,29/03/2017,2017.25
8510,-12.66558,-76.66798,1,2017,3,29,13,LMA4,Lima,Lima,Lima,M,A,29/03/2017,2017.25
8511,-12.66558,-76.66798,1,2017,3,29,13,LMA4,Lima,Lima,Lima,M,A,29/03/2017,2017.25
8512,-12.66558,-76.66798,1,2017,3,29,13,LMA4,Lima,Lima,Lima,M,A,29/03/2017,2017.25
8513,-12.66558,-76.66798,1,2017,3,29,13,LMA4,Lima,Lima,Lima,M,A,29/03/2017,2017.25
8516,-12.66558,-76.66798,1,2017,3,29,13,LMA4,Lima,Lima,Lima,M,A,29/03/2017,2017.25
8518,-12.66558,-76.66798,1,2017,3,29,13,LMA4,Lima,Lima,Lima,F,A,29/03/2017,2017.25
8522,-12.66558,-76.66798,1,2017,3,29,13,LMA4,Lima,Lima,Lima,M,A,29/03/2017,2017.25
8525,-12.66558,-76.66798,1,2017,3,29,13,LMA4,Lima,Lima,Lima,F,SA,29/03/2017,2017.25
8529,-12.66558,-76.66798,1,2017,3,29,13,LMA4,Lima,Lima,Lima,F,A,29/03/2017,2017.25
8530,-12.66558,-76.66798,1,2017,3,29,13,LMA4,Lima,Lima,Lima,F,A,29/03/2017,2017.25
8533,-12.66558,-76.66798,1,2017,3,30,13,LMA4,Lima,Lima,Lima,M,A,30/03/2017,2017.25
8534,-12.66558,-76.66798,0,2017,3,30,13,LMA4,Lima,Lima,Lima,M,A,30/03/2017,2017.25
8535,-12.66558,-76.66798,1,2017,3,30,13,LMA4,Lima,Lima,Lima,M,A,30/03/2017,2017.25
8540,-12.66558,-76.66798,1,2017,3,30,13,LMA4,Lima,Lima,Lima,M,A,30/03/2017,2017.25
8541,-12.66558,-76.66798,1,2017,3,31,14,LMA4,Lima,Lima,Lima,NA,A,31/03/2017,2017.25
6613,-10.64148,-77.81598,1,2017,4,30,18,LMA5,Lima,Lima,Lima,M,A,30/04/2017,2017.333333
6621,-10.64148,-77.81598,1,2017,4,30,18,LMA5,Lima,Lima,Lima,F,A,30/04/2017,2017.333333
